Task_name,Input_data_size,Duration(s),maxExecutor,hibench.workload.datasize
wordcount_014,164245657162 ,193.583,24,160000000000 
wordcount_015,111687159092 ,910.428,3,108800000000 
wordcount_016,111686963456 ,650.015,3,108800000000 
wordcount_017,164245664115 ,367.553,10,160000000000 
wordcount_018,118256860065 ,126.111,23,115200000000 
wordcount_019,105117102396 ,229.105,10,102400000000 
wordcount_020,157675854941 ,322.999,11,153600000000 
wordcount_021,131396588864 ,291.458,11,128000000000 
wordcount_022,164245659249 ,434.824,10,160000000000 
wordcount_023,124826725163 ,285.222,11,121600000000 
wordcount_024,216804381996 ,266.107,24,211200000000 
wordcount_025,105117164954 ,881.86,3,102400000000 
wordcount_026,105117052158 ,817.558,3,102400000000 
wordcount_027,137966389405 ,432.546,10,134400000000 
wordcount_028,177385295574 ,204.984,23,172800000000 
wordcount_029,137966415320 ,343.121,10,134400000000 
wordcount_030,151106130548 ,426.115,11,147200000000 
wordcount_031,394189819506 ,136.665,70,384000000000 
wordcount_032,131396559582 ,150.036,23,128000000000 
wordcount_033,203664623193 ,316.132,21,198400000000 
wordcount_034,269362890068 ,272.409,27,262400000000 
wordcount_035,124826804833 ,409.915,8,121600000000 
wordcount_036,124826684283 ,207.367,15,121600000000 
wordcount_037,216804418214 ,318.959,20,211200000000 
wordcount_038,111687164768 ,644.328,4,108800000000 
wordcount_039,111687075214 ,236.635,15,108800000000 
wordcount_040,118256946700 ,207.774,19,115200000000 
wordcount_041,124826562936 ,88.802,64,121600000000 
wordcount_042,105117180814 ,223.081,14,102400000000 
wordcount_043,197095028914 ,205.495,22,192000000000 
wordcount_044,118256819102 ,317.801,9,115200000000 
wordcount_045,151106054826 ,381.862,9,147200000000 
wordcount_046,203664594136 ,227.998,29,198400000000 
wordcount_047,256223532785 ,266.347,25,249600000000 
wordcount_048,210234614728 ,206.454,29,204800000000 
wordcount_049,144536356134 ,701.303,7,140800000000 
wordcount_050,105117355145 ,849.651,3,102400000000 
wordcount_051,532156103280 ,225.224,78,518400000000 
wordcount_052,223374194630 ,138.173,21,217600000000 
wordcount_053,137966373718 ,207.309,15,134400000000 
wordcount_054,177385515480 ,186.063,19,172800000000 
wordcount_055,105117295329 ,459.384,6,102400000000 
wordcount_056,157675897402 ,175.483,19,153600000000 
wordcount_057,118256961301 ,148.603,28,115200000000 
wordcount_058,111687007578 ,734.141,4,108800000000 
wordcount_059,131396514692 ,335.448,13,128000000000 
wordcount_060,183955317665 ,178.006,18,179200000000 
wordcount_061,473027414962 ,174.585,60,460800000000 
wordcount_062,354770808308 ,266.688,50,345600000000 
wordcount_063,328491286431 ,312.008,57,320000000000 
wordcount_064,282502717132 ,148.541,66,275200000000 
wordcount_065,400759447318 ,234.474,57,390400000000 
wordcount_066,210234599180 ,213.769,42,204800000000 
wordcount_067,111686952056 ,174.072,36,108800000000 
wordcount_068,335061325099 ,490.429,36,326400000000 
wordcount_069,164245652551 ,640.067,10,160000000000 
wordcount_070,105117251875 ,235.551,16,102400000000 
wordcount_071,131396565147 ,615.996,6,128000000000 
wordcount_072,105117484989 ,194.827,24,102400000000 
wordcount_073,243083850342 ,307.107,24,236800000000 
wordcount_074,124826775947 ,197.527,32,121600000000 
wordcount_075,519016315861 ,314.485,72,505600000000 
wordcount_076,105117192995 ,86.17,60,102400000000 
wordcount_077,295642234938 ,343.03,33,288000000000 
wordcount_078,151105996607 ,237.364,24,147200000000 
wordcount_079,223374150158 ,376.091,24,217600000000 
wordcount_080,137966463282 ,414.765,9,134400000000 
wordcount_081,308782116042 ,138.603,80,300800000000 
wordcount_082,341631014053 ,410.481,40,332800000000 
wordcount_083,413899141670 ,318.689,48,403200000000 
wordcount_084,124826724327 ,230.231,20,121600000000 
wordcount_085,243083667270 ,114.414,72,236800000000 
wordcount_086,262793210744 ,178.304,48,256000000000 
wordcount_087,374480139555 ,344.249,52,364800000000 
wordcount_088,321921714135 ,213.415,42,313600000000 
wordcount_089,164245735558 ,275.508,18,160000000000 
wordcount_090,177385262444 ,237.316,16,172800000000 
wordcount_091,256223198747 ,220.449,33,249600000000 
wordcount_092,236513829010 ,140.234,48,230400000000 
wordcount_093,170815504969 ,140.475,52,166400000000 
wordcount_094,381050017642 ,248.921,54,371200000000 
wordcount_095,151105985522 ,448.103,12,147200000000 
wordcount_096,335061195396 ,221.577,45,326400000000 
wordcount_097,289072595688 ,293.768,40,281600000000 
wordcount_098,190525124442 ,188.487,42,185600000000 
wordcount_099,111686899054 ,315.536,12,108800000000 
wordcount_100,183955088564 ,200.039,35,179200000000 
wordcount_101,985474001494 ,197.037,200,960000000000 
wordcount_102,985474213707 ,161.566,200,960000000000 
wordcount_103,985474046529 ,117.398,1000,960000000000 
wordcount_104,985474160934 ,117.517,1000,960000000000 
wordcount_105,985474325752 ,106.43,1000,960000000000 
wordcount_001,52558607209 ,470.407,3,51200000000 
wordcount_002,656982696149 ,642.509,17,640000000000 
wordcount_003,52558679496 ,270.622,4,51200000000 
wordcount_004,223374200960 ,407.398,16,217600000000 
wordcount_005,262793076155 ,403.305,18,256000000000 
wordcount_006,262793206026 ,384.507,19,256000000000 
wordcount_007,656982781475 ,365.866,50,640000000000 
wordcount_008,91977600024 ,660.896,3,89600000000 
wordcount_009,656982533145 ,487.387,49,640000000000 
wordcount_010,151105987630 ,312.89,11,147200000000 
wordcount_011,137966562941 ,415.845,11,134400000000 
wordcount_012,144536222755 ,331.913,10,140800000000 
wordcount_013,144536162099 ,400.936,11,140800000000 
wordcount_014,164245657162 ,172.457,24,160000000000 
wordcount_015,111687159092 ,797.781,3,108800000000 
wordcount_016,111686963456 ,730.873,3,108800000000 
wordcount_017,164245664115 ,548.561,10,160000000000 
wordcount_018,118256860065 ,133.764,23,115200000000 
wordcount_019,105117102396 ,244.439,10,102400000000 
wordcount_020,157675854941 ,307.071,11,153600000000 
wordcount_021,131396553519 ,320.839,11,128000000000 
wordcount_022,164245648855 ,430.099,10,160000000000 
wordcount_023,124826718811 ,321.594,11,121600000000 
wordcount_024,216804155979 ,285.568,24,211200000000 
wordcount_025,105117244288 ,514.698,3,102400000000 
wordcount_026,105117407182 ,711.84,3,102400000000 
wordcount_027,137966449800 ,290.44,10,134400000000 
wordcount_028,177385430522 ,230.601,23,172800000000 
wordcount_029,137966397110 ,392.363,10,134400000000 
wordcount_030,151105948170 ,415.93,11,147200000000 
wordcount_031,394189603228 ,160.787,70,384000000000 
wordcount_032,131396625683 ,160.148,23,128000000000 
wordcount_033,203664546386 ,233.485,21,198400000000 
wordcount_034,269362892904 ,330.673,27,262400000000 
wordcount_035,124826746633 ,301.284,8,121600000000 
wordcount_036,124826743063 ,214.769,15,121600000000 
wordcount_037,216804191591 ,311.195,20,211200000000 
wordcount_038,111687079470 ,685.516,4,108800000000 
