Task_name,Input_data_size,Duration(s),maxExecutor,hibench.lr.examples
lr_35,760115584,170.744,8,1900
lr_36,760115584,132.615,15,1900
lr_37,1320201072,171.928,20,3300
lr_38,440067424,156.623,4,1100
lr_39,680104752,118.717,15,1700
lr_40,720110168,140.734,19,1800
lr_41,760115584,154.005,64,1900
lr_42,640096920,130.019,14,1600
lr_43,1200182408,137.081,22,3000
lr_44,720110168,282.596,9,1800
lr_45,920139664,217.274,9,2300
lr_46,1240187824,170.508,29,3100
lr_47,1560235984,124.26,25,3900
lr_48,1280193240,133.724,29,3200
lr_49,880134248,202.06,7,2200
lr_50,440067424,171.144,3,1100
lr_51,3240490032,177.094,78,8100
lr_52,1360206488,404.819,21,3400
lr_53,840128832,148.55,15,2100
lr_54,1080163744,148.221,19,2700
lr_55,640096920,193.285,6,1600
lr_56,960145080,122.697,19,2400
lr_57,720110168,139.632,28,1800
lr_58,680104752,269.708,4,1700
lr_59,800121000,142.941,13,2000
lr_60,1120169160,125.764,18,2800
lr_61,2880434040,238.395,60,7200
lr_62,2160326888,161.974,50,5400
lr_63,2000302808,219.019,57,5000
lr_64,1720260064,166.586,66,4300
lr_65,2440369632,169.29,57,6100
lr_66,1280193240,155.617,42,3200
lr_67,680104752,174.84,36,1700
lr_68,2040308224,200.896,36,5100
lr_69,1200182408,282.241,10,3000
lr_70,640096920,137.875,16,1600
lr_71,800121000,253.307,6,2000
lr_72,640096920,137.207,24,1600
lr_73,1480225152,146.405,24,3700
lr_74,760115584,123.511,32,1900
lr_75,3160476784,168.635,72,7900
lr_76,640096920,170.538,60,1600
lr_77,1800273312,181.364,33,4500
lr_78,920139664,129.342,24,2300
lr_79,1360206488,152.029,24,3400
lr_80,840128832,179.177,9,2100
lr_81,1880284144,185.613,80,4700
lr_82,2080313640,233.192,40,5200
lr_83,2520380464,187.146,48,6300
lr_84,760115584,137.467,20,1900
lr_85,1480225152,177.083,72,3700
lr_86,1600241400,146.892,48,4000
lr_87,2280345552,161.315,52,5700
lr_88,1960297392,131.786,42,4900
lr_89,1000152912,129.731,18,2500
lr_90,1080163744,113.358,16,2700
lr_91,1560235984,149.17,33,3900
lr_92,1440217320,152.893,48,3600
lr_93,1040158328,135.282,52,2600
lr_94,2320350968,189.558,54,5800
lr_95,920139664,134.916,12,2300
lr_96,2040308224,179.174,45,5100
lr_97,1760265480,154.293,40,4400
lr_98,1160176992,153.999,42,2900
lr_99,680104752,120.247,12,1700
lr_100,1120169160,184.969,35,2800
lr_101,3600543608,246.644,200,9000
lr_102,6000904808,190.152,200,15000
lr_103,3600543608,236.263,1000,9000
lr_104,6000904808,269.127,1000,15000
lr_105,9601445400,318.499,1000,24000
lr_106,600091504,129.124,20,1500
lr_107,800121000,121.311,20,2000
lr_108,1000152912,136.115,20,2500
lr_109,1200182408,138.38,20,3000
lr_110,1400211904,162.144,20,3500
lr_111,1600241400,178.354,20,4000
lr_112,1800273312,259.099,20,4500
lr_113,2000302808,239.684,20,5000
lr_114,2200332304,258.035,20,5500
lr_115,2400361800,300.695,20,6000
lr_116,200152912,119.88,20,2500
