Task_name,Input_data_size,Duration(s),maxExecutor,hibench.rf.examples
rf_17,12000904808,529.468,10,15000
rf_18,8640650760,206.355,23,10800
rf_19,7680578520,368.113,10,9600
rf_20,11520867480,437.443,11,14400
rf_21,9600723000,433.899,11,12000
rf_22,6240471368,296.17,10,7800
rf_23,9120688088,346.822,11,11400
rf_24,15841193768,239.452,24,19800
rf_25,7680578520,905.902,3,9600
rf_26,2400182408,256.031,3,3000
rf_27,10080760328,426.655,10,12600
rf_28,12960977048,309.838,23,16200
rf_29,5760434040,256.011,10,7200
rf_30,7680578520,285.719,11,9600
rf_31,28802167800,222.646,70,36000
rf_32,9600723000,202.539,23,12000
rf_33,14881121528,314.784,21,18600
rf_34,19681482728,343.373,27,24600
rf_35,9120688088,484.23,8,11400
rf_36,9120688088,303.358,15,11400
rf_37,15841193768,341.081,20,19800
rf_38,5280399128,528.871,4,6600
rf_39,8160615848,358.166,15,10200
rf_40,8640650760,263.312,19,10800
rf_41,9120688088,168.782,64,11400
rf_42,7680578520,288.586,14,9600
rf_43,14401084200,319.842,22,18000
rf_44,8640650760,336.51,9,10800
rf_45,11040832568,594.896,9,13800
rf_46,14881121528,244.279,29,18600
rf_47,18721410488,348.471,25,23400
rf_48,15361156440,306.277,29,19200
rf_49,10560795240,747.381,7,13200
rf_50,5280399128,620.517,3,6600
rf_51,38882927528,277.581,78,48600
rf_52,16321228680,318.909,21,20400
rf_53,10080760328,369.423,15,12600
rf_54,12960977048,344.6,19,16200
rf_55,7680578520,579.595,6,9600
rf_56,11520867480,350.769,19,14400
rf_57,8640650760,247.075,28,10800
rf_58,8160615848,1087.19,4,10200
rf_59,9600723000,578.024,13,12000
rf_60,13441011960,405.975,18,16800
rf_61,34562601240,420.598,60,43200
rf_62,25921951080,298.982,50,32400
rf_63,24001806600,297.277,57,30000
rf_64,20641554968,242.675,66,25800
rf_65,29282205128,339.251,57,36600
rf_66,15361156440,256.719,42,19200
rf_67,8160615848,187.563,36,10200
rf_68,24481843928,339.78,36,30600
rf_69,14401084200,537.919,10,18000
rf_70,7680578520,285.958,16,9600
rf_71,9600723000,821.461,6,12000
rf_72,7680578520,208.292,24,9600
rf_73,17761338248,334.648,24,22200
rf_74,9120688088,198.146,32,11400
rf_75,37922855288,332.874,72,47400
rf_76,7680578520,156.618,60,9600
rf_77,21601627208,382.168,33,27000
rf_78,11040832568,244.782,24,13800
rf_79,16321228680,327.583,24,20400
rf_80,10080760328,536.611,9,12600
rf_81,22561699448,257.673,80,28200
rf_82,24961878840,286.698,40,31200
rf_83,30242277368,322.988,48,37800
rf_84,9120688088,265.304,20,11400
rf_85,17761338248,190.112,72,22200
rf_86,19201445400,207.037,48,24000
rf_87,27362060648,308.547,52,34200
rf_88,23521771688,329.401,42,29400
rf_89,12000904808,345.025,18,15000
rf_90,12960977048,390.857,16,16200
rf_91,18721410488,302.126,33,23400
rf_92,17281300920,221.181,48,21600
rf_93,12480939720,196.348,52,15600
rf_94,27842095560,295.333,54,34800
rf_95,11040832568,435.135,12,13800
rf_96,24481843928,259.853,45,30600
rf_97,21121589880,273.516,40,26400
rf_98,13921049288,223.003,42,17400
rf_99,8160615848,338.398,12,10200
rf_100,13441011960,224.055,35,16800
rf_101,320024080600,1504.27,200,400000
rf_102,640048160600,3299.255,200,800000
rf_103,2400180600600,9404.587,1000,3000000
rf_104,4000301000600,8908.514,1000,5000000
rf_105,800060200600,3273.056,1000,1000000
rf_1,3840289560,484.849,3,4800
rf_2,48003612600,836.911,17,60000
rf_3,3840289560,553.552,4,4800
rf_4,16321228680,433.675,16,20400
rf_5,19201445400,544.208,18,24000
rf_6,19201445400,437.018,19,24000
rf_7,48003612600,519.441,50,60000
rf_8,6720506280,1071.672,3,8400
rf_9,48003612600,409.286,49,60000
rf_10,11040832568,501.503,11,13800
rf_11,10080760328,450.901,11,12600
rf_12,10560795240,554.871,10,13200
rf_13,10560795240,473.879,11,13200
rf_14,12000904808,297.277,24,15000
rf_15,8160615848,1279.278,3,10200
rf_16,6720506280,888.114,3,8400
rf_17,12000904808,500.97,10,15000
rf_18,8640650760,241.621,23,10800
rf_19,7680578520,415.348,10,9600
rf_20,11520867480,472.97,11,14400
rf_21,9600723000,381.632,11,12000
rf_22,6240471368,289.084,10,7800
rf_23,9120688088,268.801,11,11400
rf_24,15841193768,263.221,24,19800
rf_25,7680578520,762.985,3,9600
rf_26,2400182408,356.084,3,3000
rf_27,10080760328,405.662,10,12600
rf_28,12960977048,252.087,23,16200
rf_29,5760434040,238.191,10,7200
rf_30,7680578520,353.415,11,9600
rf_31,28802167800,282.315,70,36000
rf_32,9600723000,200.297,23,12000
rf_33,14881121528,358.445,21,18600
rf_34,19681482728,393.171,27,24600
rf_35,9120688088,400.993,8,11400
rf_36,9120688088,353.611,15,11400
rf_37,15841193768,351.695,20,19800
rf_38,5280399128,564.363,4,6600
rf_39,8160615848,352.069,15,10200
rf_40,8640650760,308.426,19,10800
rf_41,9120688088,190.646,64,11400
rf_42,7680578520,405.079,14,9600
rf_43,14401084200,381.572,22,18000
rf_44,8640650760,593.429,9,10800
rf_45,11040832568,809.651,9,13800
rf_46,14881121528,333.168,29,18600
rf_47,18721410488,400.126,25,23400
rf_48,15361156440,337.829,29,19200
rf_49,10560795240,768.307,7,13200
rf_50,5280399128,797.636,3,6600
rf_51,38882927528,355.766,78,48600
rf_52,16321228680,527.258,21,20400
rf_53,10080760328,461.958,15,12600
rf_54,12960977048,368.619,19,16200
rf_55,7680578520,826.856,6,9600
rf_56,11520867480,347.608,19,14400
rf_57,8640650760,275.183,28,10800
rf_58,8160615848,805.773,4,10200
rf_59,9600723000,413.898,13,12000
rf_60,13441011960,443.165,18,16800
rf_61,34562601240,334.907,60,43200
rf_62,25921951080,340.057,50,32400
rf_63,24001806600,261.373,57,30000
rf_64,20641554968,262.118,66,25800
rf_65,29282205128,381.943,57,36600
rf_66,15361156440,279.925,42,19200
rf_67,8160615848,253.628,36,10200
rf_68,24481843928,371.954,36,30600
rf_69,14401084200,565.839,10,18000
rf_70,7680578520,281.334,16,9600
rf_71,9600723000,637.869,6,12000
rf_72,7680578520,204.446,24,9600
rf_73,17761338248,314.619,24,22200
rf_74,9120688088,224.152,32,11400
rf_75,37922855288,362.297,72,47400
rf_76,7680578520,152.806,60,9600
rf_77,21601627208,436.103,33,27000
rf_78,11040832568,298.574,24,13800
rf_79,16321228680,346.949,24,20400
rf_80,10080760328,474.656,9,12600
rf_81,22561699448,208.888,80,28200
rf_82,24961878840,368.878,40,31200
rf_83,30242277368,466.41,48,37800
rf_84,9120688088,301.919,20,11400
rf_85,17761338248,241.737,72,22200
rf_86,19201445400,265.55,48,24000
rf_87,27362060648,341.577,52,34200
rf_88,23521771688,356.332,42,29400
rf_89,12000904808,365.4,18,15000
rf_90,12960977048,359.5,16,16200
rf_91,18721410488,356.202,33,23400
rf_92,17281300920,292.654,48,21600
rf_93,12480939720,235.108,52,15600
rf_94,27842095560,271.698,54,34800
rf_95,11040832568,510.644,12,13800
rf_96,24481843928,307.915,45,30600
rf_97,21121589880,263.995,40,26400
rf_98,13921049288,253.525,42,17400
rf_99,8160615848,357.17,12,10200
rf_100,13441011960,235.478,35,16800
rf_101,320024080600,1249.273,200,400000
rf_102,640048160600,3147.269,200,800000
rf_103,2400180600600,8802.039,1000,3000000
rf_104,4000301000600,7748.237,1000,5000000
rf_105,800060200600,3259.587,1000,1000000
rf_1,3840289560,578.905,3,4800
rf_2,48003612600,853.748,17,60000
rf_3,3840289560,456.576,4,4800
