Task_name,Input_data_size,Duration(s),maxExecutor,hibench.pagerank.pages
pagerank_31,1756435607,153.782,70,3000000
pagerank_32,531470496,117.161,23,1000000
pagerank_33,867330239,139.555,21,1550000
pagerank_34,1173197093,115.468,27,2050000
pagerank_35,504218743,152.465,8,950000
pagerank_36,504218743,143.954,15,950000
pagerank_37,928486613,107.127,20,1650000
pagerank_38,286965088,124.19,4,550000
pagerank_39,449788967,114.499,15,850000
pagerank_40,476978293,148.016,19,900000
pagerank_41,504218743,132.5,64,950000
pagerank_42,422625339,129.923,14,800000
pagerank_43,836736090,117.416,22,1500000
pagerank_44,476978293,117.048,9,900000
pagerank_45,623044633,122.067,9,1150000
pagerank_46,867330239,109.151,29,1550000
pagerank_47,1111978314,140.531,25,1950000
pagerank_48,897906006,126.781,29,1600000
pagerank_49,592523521,133.598,7,1100000
pagerank_50,286965088,126.177,3,550000
pagerank_51,2405573887,145.246,78,4050000
pagerank_52,959058976,140.434,21,1700000
pagerank_53,561991495,133.473,15,1050000
pagerank_54,745080459,105.11,19,1350000
pagerank_55,422625339,154.606,6,800000
pagerank_56,653546522,103.49,19,1200000
pagerank_57,476978293,118.039,28,900000
pagerank_58,449788967,173.482,4,850000
pagerank_59,531470496,151.999,13,1000000
pagerank_60,775643421,137.104,18,1400000
pagerank_61,2127332518,145.733,60,3600000
pagerank_62,1571474499,196.4,50,2700000
pagerank_63,1448808441,139.234,57,2500000
pagerank_64,1234457971,126.565,66,2150000
pagerank_65,1787316603,131.515,57,3050000
pagerank_66,897906006,103.52,42,1600000
pagerank_67,449788967,121.374,36,850000
pagerank_68,1479458389,153.982,36,2550000
pagerank_69,836736090,146.739,10,1500000
pagerank_70,422625339,102.045,16,800000
pagerank_71,531470496,250.7,6,1000000
pagerank_72,422625339,90.259,24,800000
pagerank_73,1050787566,126.966,24,1850000
pagerank_74,504218743,117.815,32,950000
pagerank_75,2343734984,135.1,72,3950000
pagerank_76,422625339,104.546,60,800000
pagerank_77,1295693713,139.132,33,2250000
pagerank_78,623044633,104.658,24,1150000
pagerank_79,959058976,136.308,24,1700000
pagerank_80,561991495,100.237,9,1050000
pagerank_81,1356917607,108.806,80,2350000
pagerank_82,1510132298,157.776,40,2600000
pagerank_83,1849104840,129.09,48,3150000
pagerank_84,504218743,112.971,20,950000
pagerank_85,1050787566,111.3,72,1850000
pagerank_86,1142586071,117.99,48,2000000
pagerank_87,1663779777,115.357,52,2850000
pagerank_88,1418173308,156.644,42,2450000
pagerank_89,684042396,114.242,18,1250000
pagerank_90,745080459,108.444,16,1350000
pagerank_91,1111978314,133.775,33,1950000
pagerank_92,1020218880,121.778,48,1800000
pagerank_93,714554184,122.711,52,1300000
pagerank_94,1694678479,124.528,54,2900000
pagerank_95,623044633,124.329,12,1150000
pagerank_96,1479458389,111.044,45,2550000
pagerank_97,1265071694,129.317,40,2200000
pagerank_98,806196275,111.067,42,1450000
pagerank_99,449788967,88.79,12,850000
pagerank_100,775643421,113.149,35,1400000
pagerank_101,2684009452,177.466,200,4500000
pagerank_102,2684009452,141.551,1000,4500000
pagerank_103,2374622163,582.805,5,4000000
pagerank_104,2374622163,286.676,10,4000000
pagerank_105,2374622163,214.784,15,4000000
pagerank_106,2374622163,204.855,20,4000000
pagerank_107,2374622163,228.079,25,4000000
pagerank_108,2374622163,233.725,30,4000000
pagerank_109,2374622163,263.001,35,4000000
pagerank_110,2374622163,187.218,40,4000000
pagerank_111,2374622163,165.116,45,4000000
pagerank_112,2374622163,183.439,50,4000000
pagerank_1,205926582,152.373,3,400000
pagerank_2,2993448066,395.355,17,5000000
pagerank_3,205926582,90.157,4,400000
pagerank_4,959058976,166.724,16,1700000
pagerank_5,1142586071,140.951,18,2000000
pagerank_6,1142586071,152.345,19,2000000
pagerank_7,2993448066,321.413,50,5000000
pagerank_8,368340469,285.713,3,700000
pagerank_9,2993448066,260.632,49,5000000
pagerank_10,623044633,145.954,11,1150000
pagerank_11,561991495,140.051,11,1050000
pagerank_12,592523521,140.753,10,1100000
pagerank_13,592523521,132.244,11,1100000
pagerank_14,684042396,169.241,24,1250000
pagerank_15,449788967,388.451,3,850000
pagerank_16,368340469,212.723,3,700000
pagerank_17,684042396,134.845,10,1250000
pagerank_18,476978293,163.283,23,900000
pagerank_19,422625339,127.609,10,800000
pagerank_20,653546522,148.002,11,1200000
pagerank_21,531470496,132.905,11,1000000
pagerank_22,341199485,114.782,10,650000
pagerank_23,504218743,120.995,11,950000
pagerank_24,928486613,128.225,24,1650000
pagerank_25,422625339,170.853,3,800000
pagerank_26,125209992,122.691,3,250000
pagerank_27,561991495,151.259,10,1050000
pagerank_28,745080459,136.935,23,1350000
pagerank_29,314078848,103.671,10,600000
pagerank_30,422625339,133.105,11,800000
pagerank_31,1756435607,166.708,70,3000000
pagerank_32,531470496,137.635,23,1000000
pagerank_33,867330239,120.908,21,1550000
pagerank_34,1173197093,124.349,27,2050000
pagerank_35,504218743,134.225,8,950000
pagerank_36,504218743,103.747,15,950000
pagerank_37,928486613,128.439,20,1650000
pagerank_38,286965088,108.513,4,550000
pagerank_39,449788967,131.986,15,850000
pagerank_40,476978293,136.521,19,900000
pagerank_41,504218743,113.149,64,950000
pagerank_42,422625339,103.792,14,800000
pagerank_43,836736090,127.265,22,1500000
pagerank_44,476978293,104.973,9,900000
pagerank_45,623044633,118.522,9,1150000
pagerank_46,867330239,120.405,29,1550000
pagerank_47,1111978314,120.545,25,1950000
pagerank_48,897906006,162.759,29,1600000
pagerank_49,592523521,152.617,7,1100000
pagerank_50,286965088,171.256,3,550000
pagerank_51,2405573887,163.269,78,4050000
pagerank_52,959058976,134.413,21,1700000
pagerank_53,561991495,126.811,15,1050000
pagerank_54,745080459,105.351,19,1350000
pagerank_55,422625339,124.016,6,800000
pagerank_56,653546522,111.307,19,1200000
pagerank_57,476978293,104.003,28,900000
pagerank_58,449788967,181.898,4,850000
pagerank_59,531470496,118.36,13,1000000
pagerank_60,775643421,113.451,18,1400000
pagerank_61,2127332518,171.966,60,3600000
pagerank_62,1571474499,146.994,50,2700000
pagerank_63,1448808441,120.022,57,2500000
pagerank_64,1234457971,126.187,66,2150000
pagerank_65,1787316603,145.996,57,3050000
pagerank_66,897906006,129.759,42,1600000
pagerank_67,449788967,104.26,36,850000
pagerank_68,1479458389,129.108,36,2550000
pagerank_69,836736090,171.641,10,1500000
pagerank_70,422625339,85.551,16,800000
pagerank_71,531470496,204.023,6,1000000
pagerank_72,422625339,78.194,24,800000
pagerank_73,1050787566,113.388,24,1850000
pagerank_74,504218743,140.413,32,950000
pagerank_75,2343734984,143.443,72,3950000
pagerank_76,422625339,118.265,60,800000
pagerank_77,1295693713,128.91,33,2250000
pagerank_78,623044633,103.673,24,1150000
pagerank_79,959058976,171.791,24,1700000
pagerank_80,561991495,127.055,9,1050000
pagerank_81,1356917607,111.349,80,2350000
pagerank_82,1510132298,135.59,40,2600000
pagerank_83,1849104840,143.529,48,3150000
pagerank_84,504218743,111.756,20,950000
pagerank_85,1050787566,151.917,72,1850000
pagerank_86,1142586071,117.411,48,2000000
pagerank_87,1663779777,147.627,52,2850000
pagerank_88,1418173308,141.238,42,2450000
pagerank_89,684042396,140.972,18,1250000
pagerank_90,745080459,120.48,16,1350000
pagerank_91,1111978314,135.885,33,1950000
pagerank_92,1020218880,142.702,48,1800000
pagerank_93,714554184,108.124,52,1300000
