Task_name,Input_data_size,Duration(s),maxExecutor,hibench.summarizer.examples
summarizer_53,25202111800,65.8,15,63000
summarizer_54,32402714800,55.646,19,81000
summarizer_55,19201608600,90.207,6,48000
summarizer_56,28802412600,49.05,19,72000
summarizer_57,21601809600,52.598,28,54000
summarizer_58,20401709800,123.121,4,51000
summarizer_59,24002010600,67.443,13,60000
summarizer_60,33602814600,60.683,18,84000
summarizer_61,86407236600,49.813,60,216000
summarizer_62,64805427600,72.808,50,162000
summarizer_63,60005025600,48.195,57,150000
summarizer_64,51604322800,72.541,66,129000
summarizer_65,73206131800,55.47,57,183000
summarizer_66,38403216600,44.659,42,96000
summarizer_67,20401709800,47.416,36,51000
summarizer_68,61205126800,55.164,36,153000
summarizer_69,36003015600,73.348,10,90000
summarizer_70,19201608600,61.996,16,48000
summarizer_71,24002010600,85.223,6,60000
summarizer_72,19201608600,46.309,24,48000
summarizer_73,44403719800,71.229,24,111000
summarizer_74,22801910800,46.348,32,57000
summarizer_75,94807940800,53.769,72,237000
summarizer_76,19201608600,46.599,60,48000
summarizer_77,54004523800,65.71,33,135000
summarizer_78,27602312800,40.577,24,69000
summarizer_79,40803417600,83.14,24,102000
summarizer_80,25202111800,76.986,9,63000
summarizer_81,56404724800,49.469,80,141000
summarizer_82,62405226600,58.163,40,156000
summarizer_83,75606332800,53.34,48,189000
summarizer_84,22801910800,53.257,20,57000
summarizer_85,44403719800,37.688,72,111000
summarizer_86,48004020600,43.385,48,120000
summarizer_87,68405729800,50.611,52,171000
summarizer_88,58804925800,75.272,42,147000
summarizer_89,30002513800,49.877,18,75000
summarizer_90,32402714800,74.09,16,81000
summarizer_91,46803920800,50.738,33,117000
summarizer_92,43203618600,47.124,48,108000
summarizer_93,31202613600,47.217,52,78000
summarizer_94,69605829600,62.423,54,174000
summarizer_95,27602312800,55.728,12,69000
summarizer_96,61205126800,57.218,45,153000
summarizer_97,52804422600,54.544,40,132000
summarizer_98,34802915800,47.556,42,87000
summarizer_99,20401709800,52.976,12,51000
summarizer_100,33602814600,43.96,35,84000
summarizer_101,180015075600,62.988,200,450000
summarizer_102,180015075600,53.103,200,450000
summarizer_103,180015075600,86.526,1000,450000
summarizer_104,180015075600,86.474,1000,450000
summarizer_105,180015075600,75.461,1000,450000
summarizer_106,12005025600,33.255,20,150000
summarizer_107,24005025600,43.543,20,150000
summarizer_108,36005025600,47.493,20,150000
summarizer_109,48005025600,85.081,20,150000
summarizer_110,60005025600,79.964,20,150000
summarizer_111,72005025600,87.05,20,150000
summarizer_112,84005025600,89.254,20,150000
summarizer_113,96005025600,121.985,20,150000
summarizer_114,108005025600,157.532,20,150000
summarizer_115,120005025600,197.779,20,150000
summarizer_116,20001675600,47.678,20,50000
summarizer_117,28002345600,48.277,20,70000
summarizer_118,36003015600,63.225,20,90000
summarizer_119,44003685600,60.471,20,110000
summarizer_120,52004355600,70.814,20,130000
summarizer_121,60005025600,74.402,20,150000
summarizer_122,68005695600,82.131,20,170000
summarizer_123,76006365600,75.403,20,190000
summarizer_124,84007035600,84.395,20,210000
summarizer_125,92007705600,98.526,20,230000
summarizer_126,60005025600,191.303,5,150000
summarizer_127,60005025600,90.605,10,150000
summarizer_128,60005025600,95.192,15,150000
summarizer_129,60005025600,63.271,20,150000
summarizer_130,60005025600,66.597,25,150000
summarizer_131,60005025600,62.15,30,150000
summarizer_132,60005025600,73.822,35,150000
summarizer_133,60005025600,54.28,40,150000
summarizer_134,60005025600,58.209,45,150000
summarizer_135,60005025600,97.536,50,150000
summarizer_1,9600804600,66.512,3,24000
summarizer_2,120010050600,104.205,17,300000
summarizer_3,9600804600,62.178,4,24000
summarizer_4,40803417600,66.221,16,102000
summarizer_5,48004020600,63.866,18,120000
summarizer_6,48004020600,60.427,19,120000
summarizer_7,120010050600,71.586,50,300000
summarizer_8,16801407600,119.291,3,42000
summarizer_9,120010050600,61.717,49,300000
summarizer_10,27602312800,65.064,11,69000
summarizer_11,25202111800,71.054,11,63000
summarizer_12,26402211600,67.129,10,66000
summarizer_13,26402211600,71.676,11,66000
summarizer_14,30002513800,60.394,24,75000
summarizer_15,20401709800,113.043,3,51000
summarizer_16,16801407600,115.619,3,42000
summarizer_17,30002513800,66.932,10,75000
summarizer_18,21601809600,62.726,23,54000
summarizer_19,19201608600,66.89,10,48000
summarizer_20,28802412600,77.525,11,72000
summarizer_21,24002010600,65.537,11,60000
summarizer_22,15601307800,60.697,10,39000
summarizer_23,22801910800,48.416,11,57000
summarizer_24,39603317800,65.991,24,99000
summarizer_25,19201608600,114.057,3,48000
summarizer_26,6000503800,60.092,3,15000
summarizer_27,25202111800,61.543,10,63000
summarizer_28,32402714800,49.727,23,81000
summarizer_29,14401206600,45.835,10,36000
summarizer_30,19201608600,49.853,11,48000
summarizer_31,72006030600,70.926,70,180000
summarizer_32,24002010600,123.215,23,60000
summarizer_33,37203116800,49.438,21,93000
summarizer_34,49204121800,64.12,27,123000
summarizer_35,22801910800,58.511,8,57000
summarizer_36,22801910800,41.086,15,57000
summarizer_37,39603317800,83.389,20,99000
summarizer_38,13201106800,88.872,4,33000
summarizer_39,20401709800,46.447,15,51000
summarizer_40,21601809600,60.813,19,54000
summarizer_41,22801910800,65.641,64,57000
summarizer_42,19201608600,45.977,14,48000
summarizer_43,36003015600,63.163,22,90000
summarizer_44,21601809600,71.154,9,54000
summarizer_45,27602312800,72.712,9,69000
summarizer_46,37203116800,54.582,29,93000
summarizer_47,46803920800,71.998,25,117000
summarizer_48,38403216600,71.039,29,96000
summarizer_49,26402211600,74.108,7,66000
summarizer_50,13201106800,109.325,3,33000
summarizer_51,97208141800,70.967,78,243000
summarizer_52,40803417600,66.789,21,102000
summarizer_53,25202111800,46.205,15,63000
summarizer_54,32402714800,75.5,19,81000
summarizer_55,19201608600,80.629,6,48000
summarizer_56,28802412600,55.484,19,72000
summarizer_57,21601809600,57.487,28,54000
summarizer_58,20401709800,109.086,4,51000
summarizer_59,24002010600,66.985,13,60000
summarizer_60,33602814600,67.322,18,84000
summarizer_61,86407236600,71.255,60,216000
summarizer_62,64805427600,62.703,50,162000
summarizer_63,60005025600,75.614,57,150000
