Task_name,Input_data_size,Duration(s),maxExecutor,hibench.gmm.num_of_samples
gmm_122,6024576686,96.205,35,30000000
gmm_123,6024576728,84.823,40,30000000
gmm_124,6024576758,102.814,45,30000000
gmm_125,6024576848,111.853,50,30000000
gmm_1,2008194538,224.592,3,8000000
gmm_2,20081914686,452.188,17,100000000
gmm_3,2008194508,191.449,4,8000000
gmm_4,7028672299,183.562,16,34000000
gmm_5,8032767962,184.786,18,40000000
gmm_6,8032767866,187.987,19,40000000
gmm_7,20081914526,241.619,50,100000000
gmm_8,3012290063,266.957,3,14000000
gmm_9,20081914566,253.703,49,100000000
gmm_10,5020481251,150.582,11,23000000
gmm_11,5020481201,159.488,11,21000000
gmm_12,5020481156,162.974,10,22000000
gmm_13,5020481211,164.009,11,22000000
gmm_14,5020481146,98.882,24,25000000
gmm_15,4016385582,430.755,3,17000000
gmm_16,3012290036,328.839,3,14000000
gmm_17,5020481166,198.02,10,25000000
gmm_18,4016385578,98.861,23,18000000
gmm_19,4016385690,131.668,10,16000000
gmm_20,5020481131,159.328,11,24000000
gmm_21,4016385658,129.569,11,20000000
gmm_22,3012290069,160.551,10,13000000
gmm_23,4016385586,139.89,11,19000000
gmm_24,7028672320,157.164,24,33000000
gmm_25,4016385642,355.855,3,16000000
gmm_26,1004098942,108.822,3,5000000
gmm_27,5020481181,195.122,10,21000000
gmm_28,6024576734,107.937,23,27000000
gmm_29,3012290090,103.822,10,12000000
gmm_30,4016385646,130.871,11,16000000
gmm_31,12049150082,113.071,70,60000000
gmm_32,4016385558,109.128,23,20000000
gmm_33,7028672327,117.007,21,31000000
gmm_34,9036863399,139.367,27,41000000
gmm_35,4016385658,216.968,8,19000000
gmm_36,4016385578,187.503,15,19000000
gmm_37,7028672327,140.426,20,33000000
gmm_38,3012290027,294.624,4,11000000
gmm_39,4016385602,94.898,15,17000000
gmm_40,4016385614,95.987,19,18000000
gmm_41,4016385586,124.074,64,19000000
gmm_42,4016385642,110.969,14,16000000
gmm_43,6024576668,107.315,22,30000000
gmm_44,4016385638,140.455,9,18000000
gmm_45,5020481251,275.581,9,23000000
gmm_46,7028672306,95.947,29,31000000
gmm_47,8032767810,152.821,25,39000000
gmm_48,7028672327,101.36,29,32000000
gmm_49,5020481326,234.366,7,22000000
gmm_50,3012290054,302.061,3,11000000
gmm_51,17069628127,95.58,78,81000000
gmm_52,7028672362,129.93,21,34000000
gmm_53,5020481186,156.132,15,21000000
gmm_54,6024576656,110.159,19,27000000
gmm_55,4016385614,220.282,6,16000000
gmm_56,5020481111,95.444,19,24000000
gmm_57,4016385674,88.469,28,18000000
gmm_58,4016385670,415.842,4,17000000
gmm_59,4016385670,127.516,13,20000000
